strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0021+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.1665+-0.0000,0.0004+-0.0000,0.0000+-0.0000,0.0000+-0.0000,13.2030+-0.0001,12.0189+-0.0001,0.9813+-0.0000,0.9713+-0.0000
avg,0.0864+-0.0000,0.0758+-0.0000,0.0675+-0.0000,0.0558+-0.0000,0.0999+-0.0000,0.3194+-0.0000,0.2291+-0.0002,0.0787+-0.0000,0.0667+-0.0000,9.8417+-0.0017,9.8900+-0.0010,0.8155+-0.0000,0.8327+-0.0000
min,0.0892+-0.0000,0.0706+-0.0000,0.0516+-0.0000,0.0590+-0.0000,0.0874+-0.0000,0.2774+-0.0000,0.2114+-0.0002,0.0815+-0.0000,0.0625+-0.0000,9.6175+-0.0015,9.6839+-0.0008,0.8145+-0.0000,0.8340+-0.0000
max,0.0474+-0.0000,0.0497+-0.0000,0.0588+-0.0000,0.0384+-0.0000,0.0754+-0.0000,0.3050+-0.0000,0.1344+-0.0001,0.0408+-0.0000,0.0369+-0.0000,11.9900+-0.0034,11.7046+-0.0027,0.9058+-0.0000,0.9064+-0.0000
