strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0029+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.1855+-0.0000,0.0005+-0.0000,0.0000+-0.0000,0.0000+-0.0000,10.3269+-0.0000,10.1304+-0.0002,0.9839+-0.0000,0.9693+-0.0000
avg,0.1268+-0.0001,0.0809+-0.0000,0.1156+-0.0001,0.1078+-0.0001,0.1349+-0.0001,0.3826+-0.0001,0.3634+-0.0004,0.1268+-0.0001,0.0809+-0.0000,10.2757+-0.0168,10.0012+-0.0067,0.9324+-0.0000,0.9495+-0.0000
min,0.0877+-0.0000,0.0590+-0.0000,0.0769+-0.0000,0.0791+-0.0000,0.1012+-0.0001,0.3245+-0.0000,0.2891+-0.0003,0.0873+-0.0000,0.0586+-0.0000,9.9714+-0.0162,9.9916+-0.0072,0.9346+-0.0000,0.9451+-0.0000
max,0.1513+-0.0001,0.0992+-0.0000,0.1212+-0.0001,0.1158+-0.0001,0.1444+-0.0001,0.3815+-0.0001,0.3813+-0.0004,0.1513+-0.0001,0.0992+-0.0000,10.3400+-0.0134,10.4197+-0.0072,0.9682+-0.0000,0.9711+-0.0000
