strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0029+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.1855+-0.0000,0.0005+-0.0000,0.0000+-0.0000,0.0000+-0.0000,10.3269+-0.0000,10.1304+-0.0002,0.9839+-0.0000,0.9693+-0.0000
avg,0.4873+-0.0001,0.3455+-0.0001,0.4248+-0.0001,0.3960+-0.0002,0.4949+-0.0002,0.6864+-0.0001,0.7642+-0.0002,0.4708+-0.0001,0.3278+-0.0001,9.4382+-0.0042,9.2752+-0.0021,0.8534+-0.0000,0.8450+-0.0000
min,0.3429+-0.0001,0.2278+-0.0001,0.2360+-0.0001,0.2529+-0.0001,0.2965+-0.0001,0.5009+-0.0001,0.6632+-0.0003,0.3292+-0.0001,0.2157+-0.0001,9.0165+-0.0023,8.9081+-0.0010,0.8212+-0.0000,0.8218+-0.0000
max,0.2270+-0.0001,0.1704+-0.0000,0.2342+-0.0001,0.1993+-0.0001,0.2850+-0.0001,0.5297+-0.0001,0.5239+-0.0003,0.2233+-0.0001,0.1664+-0.0000,11.0655+-0.0121,11.1244+-0.0060,0.9695+-0.0000,0.9724+-0.0000
