strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0029+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.1855+-0.0000,0.0005+-0.0000,0.0000+-0.0000,0.0000+-0.0000,10.3269+-0.0000,10.1304+-0.0002,0.9839+-0.0000,0.9693+-0.0000
avg,0.5718+-0.0001,0.4342+-0.0001,0.5606+-0.0001,0.4810+-0.0002,0.6144+-0.0002,0.7728+-0.0000,0.8033+-0.0001,0.5525+-0.0001,0.4119+-0.0001,9.6732+-0.0040,9.4087+-0.0021,0.8586+-0.0000,0.8457+-0.0000
min,0.4249+-0.0001,0.2992+-0.0001,0.2988+-0.0001,0.2968+-0.0001,0.3409+-0.0001,0.5485+-0.0001,0.7355+-0.0003,0.4149+-0.0001,0.2885+-0.0001,9.3684+-0.0031,9.1562+-0.0015,0.8332+-0.0000,0.8285+-0.0000
max,0.6177+-0.0001,0.5024+-0.0001,0.6989+-0.0000,0.5509+-0.0002,0.7402+-0.0002,0.8395+-0.0000,0.8008+-0.0001,0.5867+-0.0001,0.4608+-0.0001,9.6440+-0.0073,9.5932+-0.0038,0.8743+-0.0000,0.8663+-0.0000
