strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.0000+-0.0000,0.0000+-0.0000,0.0029+-0.0000,0.0000+-0.0000,0.0000+-0.0000,0.1855+-0.0000,0.0005+-0.0000,0.0000+-0.0000,0.0000+-0.0000,10.3269+-0.0000,10.1304+-0.0002,0.9839+-0.0000,0.9693+-0.0000
avg,0.1690+-0.0001,0.1070+-0.0000,0.1500+-0.0001,0.1495+-0.0001,0.1874+-0.0001,0.4272+-0.0001,0.4369+-0.0004,0.1686+-0.0001,0.1062+-0.0000,10.3513+-0.0137,10.0998+-0.0064,0.9506+-0.0000,0.9519+-0.0000
min,0.1123+-0.0000,0.0755+-0.0000,0.1006+-0.0000,0.1102+-0.0001,0.1433+-0.0001,0.3529+-0.0001,0.3453+-0.0003,0.1107+-0.0000,0.0738+-0.0000,10.1405+-0.0135,9.9348+-0.0066,0.9520+-0.0000,0.9567+-0.0000
max,0.1779+-0.0001,0.1175+-0.0000,0.1362+-0.0001,0.1314+-0.0001,0.1700+-0.0001,0.4071+-0.0001,0.4153+-0.0004,0.1779+-0.0001,0.1173+-0.0000,10.1990+-0.0152,10.2371+-0.0071,0.9728+-0.0000,0.9733+-0.0000
