strategy,P@5,P@10,MAP,R@5,R@10,NDCG,MRR,SER@5,SER@10,NOV@5,NOV@10,DIV@5,DIV@10
l2r,0.5021+-0.0001,0.3448+-0.0001,0.4098+-0.0002,0.4235+-0.0002,0.5033+-0.0002,0.6138+-0.0001,0.6893+-0.0002,0.4864+-0.0001,0.3246+-0.0001,11.1389+-0.0043,10.8160+-0.0019,0.9147+-0.0000,0.9497+-0.0000
avg,0.5070+-0.0002,0.3859+-0.0001,0.4970+-0.0001,0.4103+-0.0002,0.5294+-0.0002,0.6812+-0.0001,0.6956+-0.0003,0.4934+-0.0002,0.3667+-0.0001,10.4304+-0.0043,10.0629+-0.0024,0.8814+-0.0000,0.8679+-0.0000
min,0.3972+-0.0002,0.2714+-0.0001,0.2732+-0.0001,0.2680+-0.0001,0.3054+-0.0001,0.4943+-0.0001,0.6468+-0.0003,0.3875+-0.0002,0.2610+-0.0001,10.1189+-0.0041,9.8006+-0.0021,0.8632+-0.0000,0.8534+-0.0000
max,0.5422+-0.0001,0.4411+-0.0001,0.6149+-0.0001,0.4701+-0.0002,0.6316+-0.0002,0.7421+-0.0001,0.7133+-0.0002,0.5202+-0.0001,0.4073+-0.0001,10.6491+-0.0054,10.3725+-0.0030,0.8941+-0.0000,0.8856+-0.0000
